,Set number,Name,Set type,Theme,Theme group,Subtheme,Year released,Pieces,Minifigs,Price,Age range
4996,1357-1,Cameraman,Normal,STUDIOS,Modern day,null,2001,21,1,2.00,null
4997,1360-1,Director's Copter,Normal,STUDIOS,Modern day,null,2001,22,1,3.00,null
4998,1361-1,Camera Car,Normal,STUDIOS,Modern day,null,2001,20,1,3.00,null
4999,1362-1,Air Boat,Normal,STUDIOS,Modern day,STUNTS,2001,24,1,3.00,null
5000,1363-1,Stunt Go-Cart,Normal,STUDIOS,Modern day,STUNTS,2001,25,1,3.00,null
5001,1370-1,Raptor Rumble,Normal,STUDIOS,Modern day,JURASSIC PARK III,2001,157,3,20.00,null
5002,1371-1,Spinosaurus Attack,Normal,STUDIOS,Modern day,JURASSIC PARK III,2001,155,2,35.00,null
5003,1388-1,Huki,Normal,BIONICLE,Constraction,MATORAN,2001,8,null,2.00,null
5004,1389-1,Onepu,Normal,BIONICLE,Constraction,MATORAN,2001,8,null,2.00,null
5005,1390-1,Maku,Normal,BIONICLE,Constraction,MATORAN,2001,8,null,2.00,null
5006,1391-1,Jala,Normal,BIONICLE,Constraction,MATORAN,2001,8,null,2.00,null
5007,1392-1,Kongu,Normal,BIONICLE,Constraction,MATORAN,2001,8,null,2.00,null
5008,1393-1,Matoro,Normal,BIONICLE,Constraction,MATORAN,2001,8,null,2.00,null
5009,1403-1,Racing Leopard,Normal,DUPLO,Pre-school,null,2001,2,1,3.00,null
5010,1404-1,Racing Tiger,Normal,DUPLO,Pre-school,null,2001,2,1,3.00,null
5011,1405-1,Racing Lion,Normal,DUPLO,Pre-school,null,2001,2,1,3.00,null
5012,1406-1,Nursing the Baby,Normal,DUPLO,Pre-school,null,2001,5,1,0,null
5013,1407-1,Cooking with Mummy,Normal,DUPLO,Pre-school,null,2001,6,1,0,null
5014,1408-1,Walking the dog with Daddy,Normal,DUPLO,Pre-school,null,2001,4,1,0,null
5015,1411-1,Pirates Treasure Hunt,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,31,4,0.00,null
5016,1413-1,Rover,Normal,SPACE,Action/Adventure,LIFE ON MARS,2001,29,1,0,null
5017,1414-1,Double Hover,Normal,SPACE,Action/Adventure,LIFE ON MARS,2001,21,1,0,null
5018,1415-1,Jet Scooter,Normal,SPACE,Action/Adventure,LIFE ON MARS,2001,24,1,0,null
5019,1416-1,Worker Robot,Normal,SPACE,Action/Adventure,LIFE ON MARS,2001,30,1,0,null
5020,1417-1,Vakama,Normal,BIONICLE,Constraction,PROMOTIONAL,2001,28,null,0,null
5021,1418-1,Matau,Normal,BIONICLE,Constraction,PROMOTIONAL,2001,26,null,0,null
5022,1419-1,Nokama,Normal,BIONICLE,Constraction,PROMOTIONAL,2001,27,null,0,null
5023,1420-1,Nuju,Normal,BIONICLE,Constraction,PROMOTIONAL,2001,29,null,0,null
5024,1421-1,Director's Copter,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,22,1,0,null
5025,1422-1,Camera Cart,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,20,1,0,null
5026,1423-1,Air Boat,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,24,1,0,null
5027,1424-1,Stunt Go-Kart,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,25,1,0,null
5028,1452-1,Flower,Normal,BABY,Pre-school,null,2001,1,null,0,null
5029,1453-1,Butterfly,Normal,BABY,Pre-school,null,2001,null,null,0,null
5030,1454-1,Stack-n-Learn,Normal,BABY,Pre-school,null,2001,3,null,0,null
5031,1456-1,Squirt Frog,Normal,BABY,Pre-school,null,2001,1,null,0,null
5032,1457-1,Caterpillar,Normal,BABY,Pre-school,null,2001,3,null,8.00,null
5033,1528-2,Pen Baseball,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5034,1529-1,Pen Basketball,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5035,1530-1,Pen Football,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5036,1532-1,Pen Aquazone,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5037,1533-1,Pen Mini Figure Faces,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5038,1534-1,Pen Legoland,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5039,1535-1,Pen Knights' Kingdom,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5040,1537-1,Pen Dream Star,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5041,1538-1,Pen Safari,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5042,1539-1,Pen Classic II,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5043,1701-2,Pen Pack Gali,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5044,1702-2,Pen Pack Kopaka,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5045,1703-2,Pen Pack Lewa,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5046,1704-2,Pen Pack Onua,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5047,1705-1,Pen Pack Pohatu,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5048,1706-1,Pen Pack Tahu,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5049,1708-2,Limited Edition Pen,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5050,2032-2,Pen Pack Space Port,Gear,GEAR,Miscellaneous,PENS,2001,null,null,0,null
5051,2580-1,Friendly Animal Bus,Normal,DUPLO,Pre-school,null,2001,103,5,0,null
5052,2863-1,Box of Bricks,Normal,DUPLO,Pre-school,null,2001,100,null,0,null
5053,2878-2,Santa Claus Mos Burger Gift Box- Hawaiian Shirt Santa,Normal,SEASONAL,Miscellaneous,CHRISTMAS,2001,1,null,0,null
5054,2878-3,Santa Claus Mos Burger Gift Box - Tuxedo Santa,Normal,SEASONAL,Miscellaneous,CHRISTMAS,2001,1,null,0,null
5055,2878-4,Santa Claus Mos Burger Gift Box - Soccer Santa,Normal,SEASONAL,Miscellaneous,CHRISTMAS,2001,1,null,0,null
5056,2878-5,Santa Claus Mos Burger Gift Box - King and Queen Santa,Normal,SEASONAL,Miscellaneous,CHRISTMAS,2001,1,null,0,null
5057,2927-1,{House with CD-ROM},Normal,DUPLO,Pre-school,null,2001,null,null,0,null
5058,2946-1,MyBot Expansion Kit,Normal,ACTION WHEELERS,Pre-school,null,2001,14,1,13.00,null
5059,2947-1,Speedbike,Normal,ACTION WHEELERS,Pre-school,null,2001,13,1,15.00,null
5060,2949-1,Remote Control Dozer,Normal,ACTION WHEELERS,Pre-school,null,2001,21,1,35.00,null
5061,2951-1,Lisa,Normal,DUPLO,Pre-school,DOLLS,2001,4,2,10.00,null
5062,2952-1,Marie,Normal,DUPLO,Pre-school,DOLLS,2001,6,2,10.00,null
5063,2953-1,Anna,Normal,DUPLO,Pre-school,DOLLS,2001,4,2,10.00,null
5064,2954-1,Picnic,Normal,DUPLO,Pre-school,DOLLS,2001,14,null,15.00,null
5065,2955-1,Sarah,Normal,DUPLO,Pre-school,DOLLS,2001,32,2,30.00,null
5066,2961-1,Bedroom,Normal,DUPLO,Pre-school,DOLLS,2001,20,null,20.00,null
5067,2971-1,Action Policebike,Normal,DUPLO,Pre-school,null,2001,5,1,3.00,null
5068,2973-1,Musical Apple,Normal,BABY,Pre-school,null,2001,1,null,8.00,null
5069,2974-1,Play Train,Normal,BABY,Pre-school,null,2001,6,1,10.00,null
5070,2975-1,Bouncing with Tigger,Normal,DUPLO,Pre-school,WINNIE THE POOH,2001,11,1,0,null
5071,2976-1,Acorn Adventure with Piglet,Normal,DUPLO,Pre-school,WINNIE THE POOH,2001,11,1,0,null
5072,2977-1,Eeyore and the Little Raincloud,Normal,DUPLO,Pre-school,WINNIE THE POOH,2001,9,1,0,null
5073,2979-1,Build and Play in the Pop-Up 100 Acre Wood,Normal,DUPLO,Pre-school,WINNIE THE POOH,2001,13,1,0,null
5074,2991-1,Pooh and the Honeybees,Normal,DUPLO,Pre-school,WINNIE THE POOH,2001,11,1,0,null
5075,2993-1,Surprise Birthday Party for Eeyore,Normal,DUPLO,Pre-school,WINNIE THE POOH,2001,25,3,0,null
5076,3083-1,Flying Action,Normal,DUPLO,Pre-school,null,2001,9,2,10.00,null
5077,3085-1,Race Action,Normal,DUPLO,Pre-school,null,2001,46,4,20.00,null
5078,3087-1,Circus Princess,Normal,DUPLO,Pre-school,null,2001,7,1,4.00,null
5079,3088-1,Growing Garden,Normal,DUPLO,Pre-school,null,2001,19,1,10.00,null
5080,3089-1,Adventure Trip,Normal,DUPLO,Pre-school,null,2001,29,2,15.00,null
5081,3090-1,Forest Picnic,Normal,DUPLO,Pre-school,null,2001,24,4,15.00,null
5082,3091-1,Big Gas Truck,Normal,DUPLO,Pre-school,null,2001,3,1,4.00,null
5083,3092-1,Friendly Farm,Normal,DUPLO,Pre-school,null,2001,10,1,10.00,null
5084,3093-1,Fun Playground,Normal,DUPLO,Pre-school,null,2001,24,4,20.00,null
5085,3095-1,Wildlife Park,Normal,DUPLO,Pre-school,null,2001,32,3,40.00,null
5086,3121-1,Summer Day Out,Normal,SCALA,Girls,DOLLS,2001,20,1,8.00,null
5087,3122-1,1-2-3 ... Marie,Normal,SCALA,Girls,DOLLS,2001,17,1,15.00,null
5088,3123-1,Emma's Chill-Out Kitchen,Normal,SCALA,Girls,DOLLS,2001,58,1,20.00,null
5089,3124-1,Indie's Stable,Normal,SCALA,Girls,DOLLS,2001,95,null,50.00,null
5090,3126-1,Green Bucket,Normal,DUPLO,Pre-school,null,2001,40,1,0,2+
5091,3160-1,Play Plane,Normal,BABY,Pre-school,null,2001,1,1,0,null
5092,3161-1,Soft Stacking Hen,Normal,BABY,Pre-school,null,2001,5,null,10.00,null
5093,3162-1,Take Along Friend,Normal,BABY,Pre-school,null,2001,1,1,0,null
5094,3169-1,Crib and Mirror Adventure,Normal,BABY,Pre-school,null,2001,2,null,0,null
5095,3170-1,Light and Sound Stacker,Normal,BABY,Pre-school,null,2001,10,null,15.00,null
5096,3172-1,Soft Frog Rattle,Normal,BABY,Pre-school,null,2001,1,null,0,null
5097,3173-1,Caterpillar Teether,Normal,BABY,Pre-school,null,2001,1,null,7.00,null
5098,3197-1,Aircraft,Normal,BASIC,Basic,null,2001,15,null,0,null
5099,3212-1,Star Teether,Normal,BABY,Pre-school,null,2001,1,null,0,null
5100,3235-1,Soft Ladybird and Bee,Normal,BABY,Pre-school,null,2001,1,null,0,null
5101,3236-1,Roll 'n' Play,Normal,BABY,Pre-school,null,2001,1,null,0,null
5102,3237-1,Stacking Tower,Normal,BABY,Pre-school,null,2001,5,null,0,null
5103,3238-1,Shape and Colour Sorter,Normal,BABY,Pre-school,null,2001,9,null,0,null
5104,3263-1,Goozle,Normal,DUPLO,Pre-school,ZOOTERS,2001,10,null,10.00,null
5105,3264-1,Tez,Normal,DUPLO,Pre-school,ZOOTERS,2001,9,null,10.00,null
5106,3265-1,Wazo,Normal,DUPLO,Pre-school,ZOOTERS,2001,6,null,12.00,null
5107,3266-1,Tubes,Normal,DUPLO,Pre-school,null,2001,58,null,15.00,null
5108,3267-1,Brick Runner,Normal,DUPLO,Pre-school,null,2001,25,null,10.00,null
5109,3271-1,Bob's Workshop,Normal,DUPLO,Pre-school,BOB THE BUILDER,2001,10,1,6.00,null
5110,3272-1,Scoop on the Road,Normal,DUPLO,Pre-school,BOB THE BUILDER,2001,21,1,10.00,null
5111,3273-1,"Bob, Lofty and the Mice",Normal,DUPLO,Pre-school,BOB THE BUILDER,2001,18,2,15.00,null
5112,3274-1,Bob and Muck Repair the Barn,Normal,DUPLO,Pre-school,BOB THE BUILDER,2001,35,2,0,null
5113,3275-1,Bob's Big Building Box,Normal,DUPLO,Pre-school,BOB THE BUILDER,2001,51,1,20.00,null
5114,3276-1,Muck and Scoop,Normal,DUPLO,Pre-school,BOB THE BUILDER,2001,52,4,30.00,null
5115,3415-1,Japanese Soccer Team,Normal,SPORTS,Modern day,FOOTBALL,2001,null,null,0,null
5116,3416-1,Women's Team,Normal,SPORTS,Modern day,FOOTBALL,2001,62,6,9.95,null
5117,3418-1,Point Shooting,Normal,SPORTS,Modern day,FOOTBALL,2001,24,1,0,null
5118,3419-1,Precision Shooting,Normal,SPORTS,Modern day,FOOTBALL,2001,24,1,0,null
5119,3451-1,Sopwith Camel,Normal,ADVANCED MODELS,Model making,AIRCRAFT,2001,574,null,50.00,12+
5120,3507-1,1x4x3 Wall Element Clear,Normal,BULK BRICKS,Basic,null,2001,25,null,8.00,null
5121,3508-1,1x4x5 Black Window with Transparent Light Blue Pane,Normal,BULK BRICKS,Basic,null,2001,20,null,9.00,null
5122,3724-1,LEGO Dragon,Normal,ADVANCED MODELS,Model making,SCULPTURES,2001,1530,null,99.00,null
5123,3740-1,Small Locomotive,Normal,TRAINS,Modern day,9V,2001,67,null,15.00,null
5124,3741-1,Large Locomotive,Normal,TRAINS,Modern day,9V,2001,92,null,20.00,null
5125,3742-1,Tender,Normal,TRAINS,Modern day,9V,2001,39,null,11.00,null
5126,3743-1,Locomotive Blue Bricks,Normal,TRAINS,Modern day,9V,2001,106,null,7.00,null
5127,3744-1,Locomotive Green Bricks,Normal,TRAINS,Modern day,9V,2001,106,null,7.00,null
5128,3745-1,Locomotive Black Bricks,Normal,TRAINS,Modern day,9V,2001,106,null,7.00,null
5129,3746-1,Locomotive Brown Bricks,Normal,TRAINS,Modern day,9V,2001,106,null,7.00,null
5130,3747-1,Locomotive Dark Grey Bricks,Normal,TRAINS,Modern day,9V,2001,106,null,7.00,null
5131,3748-1,Light Unit for Train,Normal,TRAINS,Modern day,9V,2001,4,null,10.00,null
5132,3750-1,Life On Mars Accessories,Normal,BULK BRICKS,Basic,SPACE,2001,48,null,4.99,null
5133,3751-1,1x2 Brown Bricks,Normal,BULK BRICKS,Basic,null,2001,100,null,6.00,null
5134,3752-1,1x6 Brown Bricks,Normal,BULK BRICKS,Basic,null,2001,50,null,7.00,null
5135,3753-1,2x2 Brown Bricks,Normal,BULK BRICKS,Basic,null,2001,100,null,7.00,null
5136,3754-1,2x4 Brown Bricks,Normal,BULK BRICKS,Basic,null,2001,50,null,7.00,null
5137,3755-1,2x4 Roof Tiles Steep Sloped Brown,Normal,BULK BRICKS,Basic,null,2001,50,null,8.00,null
5138,3756-1,2x4 Ridge Roof Tiles Steep Sloped Brown,Normal,BULK BRICKS,Basic,null,2001,25,null,5.00,null
5139,3800-1,Ultimate Builders Set,Normal,MINDSTORMS,Technical,1.5,2001,321,null,60.00,null
5140,3804-1,Robotics Invention System V2.0,Normal,MINDSTORMS,Technical,2.0,2001,717,null,200.00,null
5141,3805-1,Robotics Invention System Upgrade Kit,Normal,MINDSTORMS,Technical,1.5,2001,1,null,20.00,null
5142,3901-1,Jack Stone Video,Gear,GEAR,Miscellaneous,DIGITAL MEDIA,2001,null,null,0,null
5143,3917-1,Red Brick Key Chain,Gear,GEAR,Miscellaneous,KEY CHAINS/BRICK,2001,null,null,0,null
5144,3924-1,Director Key Chain,Gear,GEAR,Miscellaneous,KEY CHAINS/STUDIOS,2001,null,null,3.00,null
5145,3925-1,Brickster Key Chain,Gear,GEAR,Miscellaneous,KEY CHAINS/ISLAND XTREME STUNTS,2001,null,null,3.00,null
5146,3948-1,Stormtrooper,Gear,GEAR,Miscellaneous,KEY CHAINS/STAR WARS,2001,null,null,4.00,null
5147,3974-1,Cowboy Key Chain,Gear,GEAR,Miscellaneous,KEY CHAINS/WESTERN,2001,null,null,3.00,null
5148,4016-1,Racer,Normal,CREATOR,Model making,PROMOTIONAL,2001,21,null,2.00,null
5149,4017-1,Sea Helicopter,Normal,CREATOR,Model making,PROMOTIONAL,2001,13,null,2.00,null
5150,4018-1,Ship,Normal,CREATOR,Model making,PROMOTIONAL,2001,12,null,2.00,null
5151,4019-1,Aeroplane,Normal,CREATOR,Model making,PROMOTIONAL,2001,17,null,2.00,null
5152,4049-1,Nesquik Bunny Film Set,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,28,3,0,5+
5153,4051-1,Nesquik Bunny,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,5+
5154,4052-1,Director,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,5+
5155,4053-1,Cameraman,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,5,1,0,5+
5156,4056-1,Color Light,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,13,null,0,null
5157,4057-1,Spot Light,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,10,null,0,null
5158,4058-1,Cameraman 1,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5159,4059-1,Director,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5160,4060-1,Grip,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5161,4061-1,Assistant,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5162,4062-1,Actress,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5163,4063-1,Cameraman 2,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5164,4064-1,Actor 2,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5165,4065-1,Actor 3,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5166,4066-1,Actor 1,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,1,0,null
5167,4067-1,Buggy,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,15,null,0,null
5168,4068-1,Handy Camera,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,6,null,0,null
5169,4069-1,Katinco & Megaphone,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,null,0,null
5170,4070-1,Stand Camera,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,7,null,0,null
5171,4071-1,Bottles,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,8,null,0,null
5172,4072-1,Skeleton,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,6,1,0,null
5173,4073-1,Tree 1,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,6,null,0,null
5174,4074-1,Tree 3,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,14,null,0,null
5175,4075-1,Tree 2,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,13,null,0,null
5176,4076-1,Pteranodon,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,17,null,0,null
5177,4077-1,Plesiosaur,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,13,null,0,null
5178,4078-1,T-Rex,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,18,null,0,null
5179,4079-1,Mini Rex,Normal,STUDIOS,Modern day,PROMOTIONAL,2001,4,null,0,null
5180,4112-1,Basic Building Set,Normal,BASIC,Basic,null,2001,201,null,0,null
5181,4113-1,Brick Adventures Bucket,Normal,CREATOR,Model making,BUCKET,2001,124,null,0,null
5182,4115-1,All That Drives Bucket,Normal,CREATOR,Model making,BUCKET,2001,165,1,8.00,null
5183,4116-1,Animal Adventures Bucket,Normal,CREATOR,Model making,BUCKET,2001,209,2,10.00,null
5184,4117-1,Fantastic Flyers and Cool Cars,Normal,CREATOR,Model making,BUCKET,2001,257,2,15.00,null
5185,4118-1,"Buildings, Mansions and Shops",Normal,CREATOR,Model making,BUCKET,2001,361,3,30.00,null
5186,4119-1,Regular and Transparent Bricks,Normal,CREATOR,Model making,null,2001,234,null,15.00,null
5187,4120-1,Fun and Cool Transportation,Normal,CREATOR,Model making,BUCKET,2001,606,2,20.00,null
5188,4121-1,All Kinds of Animals,Normal,CREATOR,Model making,BUCKET,2001,171,2,20.00,null
5189,4124-1,Advent Calendar,Normal,CREATOR,Model making,SEASONAL,2001,231,null,15.00,null
5190,4171-1,Spot and Friends,Normal,CREATOR,Model making,null,2001,53,null,3.00,null
5191,4172-1,Tina's House,Normal,CREATOR,Model making,null,2001,42,1,4.00,4 - 9
5192,4173-1,Max's Pitstop,Normal,CREATOR,Model making,null,2001,58,1,7.00,null
5193,4174-1,Max Goes Flying,Normal,CREATOR,Model making,null,2001,172,1,15.00,null
5194,4175-1,Adventures with Max and Tina,Normal,CREATOR,Model making,null,2001,217,2,20.00,null
5195,4176-1,The Race of the Year,Normal,CREATOR,Model making,null,2001,323,3,25.00,null
5196,4177-1,Building Stories with Nana Bird,Normal,CREATOR,Model making,null,2001,373,3,30.00,null
5197,4250-1,Creator Bulk (Exclusive),Normal,CREATOR,Model making,null,2001,234,null,0,null
5198,4383-1,Time Teaching Clock,Gear,GEAR,Miscellaneous,WATCHES/CLOCKS,2001,null,1,35.00,null
5199,4392-1,Football / Soccer Clock,Gear,GEAR,Miscellaneous,WATCHES/CLOCKS,2001,null,null,30.00,null
5200,4566-1,Gear,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5201,4567-1,Surfer,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5202,4568-1,Loopin,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5203,4569-1,Warrior,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5204,4570-1,Shredd,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5205,4571-1,Spiky,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5206,4572-1,Scratch,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5207,4573-1,Lightor,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5208,4574-1,Rip,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5209,4575-1,Pulse,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5210,4576-1,Duster,Normal,RACERS,Racing,XALAX,2001,7,1,3.00,null
5211,4577-1,Snake,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5212,4578-1,Ghost,Normal,RACERS,Racing,XALAX,2001,8,1,3.00,null
5213,4579-1,Freeze & Chill,Normal,RACERS,Racing,XALAX,2001,114,2,20.00,null
5214,4600-1,Police Cruiser,Normal,JACK STONE,Junior,null,2001,22,1,4.00,null
5215,4601-1,Fire Cruiser,Normal,JACK STONE,Junior,null,2001,21,1,4.00,null
5216,4603-1,Res-Q Wrecker,Normal,JACK STONE,Junior,null,2001,29,1,7.00,null
5217,4604-1,Police Copter,Normal,JACK STONE,Junior,null,2001,14,2,7.00,null
5218,4605-1,Fire Response SUV,Normal,JACK STONE,Junior,null,2001,28,2,10.00,null
5219,4606-1,Aqua Res-Q Transport,Normal,JACK STONE,Junior,null,2001,38,2,13.00,null
5220,4607-1,Copter Transport,Normal,JACK STONE,Junior,null,2001,64,2,20.00,null
5221,4608-1,Bank Breakout,Normal,JACK STONE,Junior,null,2001,65,3,20.00,null
5222,4609-1,Fire Attack Team,Normal,JACK STONE,Junior,null,2001,90,3,35.00,null
5223,4610-1,Aqua Res-Q Super Station,Normal,JACK STONE,Junior,null,2001,88,4,50.00,null
5224,4611-1,Police HQ,Normal,JACK STONE,Junior,null,2001,132,5,70.00,null
5225,4701-1,Sorting Hat,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,48,1,7.00,null
5226,4702-1,The Final Challenge,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,60,2,10.00,null
5227,4704-1,The Room of the Winged Keys,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,175,3,20.00,null
5228,4705-1,Snape's Class,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,163,3,20.00,null
5229,4706-1,Forbidden Corridor,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,238,3,30.00,null
5230,4707-1,Hagrid's Hut,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,299,2,30.00,null
5231,4708-1,Hogwarts Express,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,410,3,50.00,null
5232,4709-1,Hogwarts Castle,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,682,9,90.00,null
5233,4721-1,Hogwarts Classrooms,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,73,1,10.00,null
5234,4722-1,Gryffindor House,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,68,1,10.00,null
5235,4723-1,Diagon Alley Shops,Normal,HARRY POTTER,Licensed,PHILOSOPHER'S STONE,2001,80,1,10.00,null
5236,4810-1,Blue Bucket,Normal,CREATOR,Model making,BUCKET,2001,254,1,0,null
5237,4827-1,Medium Bucket,Normal,DUPLO,Pre-school,null,2001,44,1,0,null
5238,4830-1,Medium Bucket,Normal,DUPLO,Pre-school,null,2001,51,1,0,null
5239,4836-1,Medium Bucket,Normal,DUPLO,Pre-school,null,2001,50,1,0,null
5240,5223-1,Wind-Up Motor,Normal,TECHNIC,Technical,null,2001,41,null,10.00,null
5241,5322-1,Duplo Bucket,Normal,DUPLO,Pre-school,null,2001,60,null,18.00,null
5242,5327-1,Duplo Bucket,Normal,DUPLO,Pre-school,null,2001,60,null,0,null
5243,5336-1,Duplo Bucket,Normal,DUPLO,Pre-school,null,2001,43,null,0,null
5244,5339-1,Small Bucket with Dog,Normal,DUPLO,Pre-school,null,2001,42,1,18.00,null
5245,5342-1,Duplo Bucket,Normal,DUPLO,Pre-school,null,2001,34,null,0,null
5246,5599-1,Radio Control Racer,Normal,RACERS,Racing,null,2001,294,1,80.00,null
5247,5730-1,LEGO Island 2,Gear,GEAR,Miscellaneous,VIDEO GAMES/GAME BOY COLOR,2001,null,null,19.95,null
5248,5774-1,LEGO Island 2,Gear,GEAR,Miscellaneous,VIDEO GAMES/PC,2001,null,null,19.95,null
5249,5775-1,LEGO Island 2,Gear,GEAR,Miscellaneous,VIDEO GAMES/PS,2001,null,null,19.95,null
5250,5777-1,LEGO Island 2,Gear,GEAR,Miscellaneous,VIDEO GAMES/GAME BOY ADVANCE,2001,null,null,0,null
5251,5778-1,LEGO Racers 2,Gear,GEAR,Miscellaneous,VIDEO GAMES/PC,2001,null,null,0,null
5252,5779-1,LEGO Racers 2,Gear,GEAR,Miscellaneous,VIDEO GAMES/PS2,2001,null,null,29.95,null
5253,5780-1,LEGO Racers 2,Gear,GEAR,Miscellaneous,VIDEO GAMES/GAME BOY ADVANCE,2001,null,null,0,null
5254,5781-1,LEGO Bionicle: The Legend of Mata Nui,Gear,GEAR,Miscellaneous,VIDEO GAMES/PC,2001,null,null,0,null
5255,5782-1,LEGO BIONICLE: Tales of the Tohunga,Gear,GEAR,Miscellaneous,VIDEO GAMES/GAME BOY ADVANCE,2001,null,null,29.95,null
5256,5787-1,LEGO Creator: Harry Potter,Gear,GEAR,Miscellaneous,VIDEO GAMES/PC,2001,null,null,30.00,null
5257,5831-1,Adventurous Puppies,Normal,BELVILLE,Girls,FAIRY-TALE,2001,15,null,5.00,null
5258,5832-1,Vanilla's Magic Tea Party,Normal,BELVILLE,Girls,FAIRY-TALE,2001,14,1,9.00,null
5259,5833-1,Rosita's Wonderful Stable,Normal,BELVILLE,Girls,FAIRY-TALE,2001,40,1,17.00,null
5260,5834-1,The Enchanted Garden,Normal,BELVILLE,Girls,FAIRY-TALE,2001,103,2,42.00,null
5261,5950-1,Baby Ankylosaurus,Normal,DINOSAURS,Action/Adventure,null,2001,37,null,0,null
5262,5951-1,Baby Iguanodon,Normal,DINOSAURS,Action/Adventure,null,2001,23,null,0,null
5263,5952-1,Baby Brachiosaurus,Normal,DINOSAURS,Action/Adventure,null,2001,31,null,0,null
5264,5953-1,Baby Dimetrodon,Normal,DINOSAURS,Action/Adventure,null,2001,20,null,0,null
